"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Europe & Central Asia (excluding high income)","ECA","2020","","","","","","","","","","43.8974960354428","63.0679000735651","52.9440028575915","52769.962743996","","","","","","","","47.4214319833889","","","68.4540767781748","","56.7401237180494","57.3388892262531","","","187017424","","69.8269026441637","","","","","","","","7.96588074846972","7.76330551275953","","22.7318434414343","","18.7057258465178","","20.1811035893956","","",""
"Egypt, Arab Rep.","EGY","1980","","","","","","","","","","5.51","71.2","38.63","","","8.25","","51.13","","30.44","","7.4","","","73.57","","","40.77","","","","","10.0584477368493","","","","","17.72","","3.94","","5.18","","","","","","","","",""
"Spain","ESP","2012","0.889999985694885","0.540000021457672","0.699999988079071","20.6700000762939","9.0600004196167","30.3199996948242","75.1100006103516","88.5299987792969","63.9599990844727","40.06","50.02","44.94","94326.0668507623","36.99","37.65","40.02","40.35","38.54","39.03","52.86","53.44","68.36","66.02","66.33","80.09","59.3","59.75","74.29","45.5339317400453","23582846","80.0666464707664","80.5668626564149","17.5900001525879","19.5699996948242","18.6000003814697","25.03","25.03","24.58","24.58","24.79","24.79","51.49","51.44","54.13","54.12","52.9","52.86","87.2900009155273","78.879997253418","82.6999969482422"
"Fiji","FJI","2010","30.1399993896484","15.25","20.3700008392334","16.7399997711182","12.1000003814697","19.1800003051758","58.810001373291","72.0800018310547","51.8699989318848","","","52.02","25270.1482697858","25.77","","49.7","","38.08","","43.11","","44.67","79.2","","80.9","61.45","56.99","63.19","34.5143429895157","375131","54.4318181818182","","","","","4.73","","4.11","","4.32","8.91","17.54","","11.02","","13.16","","50.1699981689453","56.8199996948242","54.5299987792969"
"Gabon","GAB","1993","5.80999994277954","2.11999988555908","3.61999988555908","9.57999992370605","2.41000008583069","14.4499998092651","46.9099998474121","34.9700012207031","55.0200004577637","46.14","57.85","51.87","80650.9430441265","17.42","31.94","27.73","38.07","22.58","34.87","35.74","54.45","37.67","58.27","71.16","60.88","46.62","62.62","49.01","39.6598011133912","278249","61.3351638922258","76.5177065767285","","","","16.01","16.14","18.94","19.09","17.78","17.78","43.66","40.2","42.25","41.67","42.79","40.96","32.6300010681152","61.1100006103516","49.5900001525879"
"Georgia","GEO","1991","38.310001373291","25.7800006866455","31.8099994659424","13.0600004196167","7.82000017166138","17.9200000762939","39.9000015258789","42.9799995422363","37.0400009155273","","","","17474.735827658","34.43","","43.67","","39.11","","60.51","","63.24","76.94","","78.53","68.12","","70.59","47.7045001622098","2481355","78.6456979464518","","","","","1.67","","3.64","","2.7","","4.32","","6.55","","5.58","","55.3600006103516","59.9900016784668","57.7599983215332"
"Equatorial Guinea","GNQ","2016","1.10000002384186","1.42999994754791","1.30999994277954","21.8199996948242","12.789999961853","27.0799999237061","39.3199996948242","43.8699989318848","36.6800003051758","","","","69705.5705933403","28.33","","33.76","","31.33","","54.75","","56.14","67.31","","68.41","62.06","","63.33","36.8701097452139","471729","81.340068340514","","","","","8.42","","8.14","","8.24","","16.31","","15.78","","16","","14","16.7199993133545","15.7200002670288"
"Guatemala","GTM","1987","","","","","","","","","","","","","","","26.47","","83.75","","54.01","","27.5","","","90.3","","","57.74","","","","","30.4540420819491","","","","","4.17","","1.83","","2.4","","","","","","","","",""
"Hong Kong SAR, China","HKG","1987","","","","","","","","","","47.6","78.61","63.45","","","59.77","","62.46","","61.12","","48.6","","","80.23","","","64.76","","","","","60.5758444472143","","","","","1.75","","1.71","","1.73","","3.93","","3.78","","3.85","","",""
"Haiti","HTI","2002","30.3299999237061","21.1399993896484","25.3899993896484","7.21000003814697","2.60999989509583","11.1700000762939","55.8300018310547","76.1900024414063","38.2799987792969","","","","7568.86618740627","31.43","","38.23","","34.81","","58.03","","58.94","69.56","","69.32","63.6","","63.98","47.1458644121529","3375155","83.4243818286372","","","","","12.09","","9.16","","10.54","","28.18","","19.97","","23.7","","14.6700000762939","32.7299995422363","24.3700008392334"
"IDA blend","IDB","2000","28.5824936915884","14.5301933844977","19.5099095710501","15.7544551577335","11.4454172356453","18.1027677825324","36.3731753022989","35.9834662612525","36.5996944960934","","","","9448.24477177099","28.0653021270971","","54.1605875477495","","41.3294331434034","","42.9740739847482","","43.77868304057","76.0020379024364","","77.2325087462909","59.6285391526579","","60.6814768059649","35.7296292018307","123257972","62.6699686580668","","","","","4.65428969521442","","3.2861531527815","","3.77285852287801","","7.07058221807988","","7.37247349428075","","7.23381480852988","","18.5214430518969","32.1456781613942","27.327800141676"
"Japan","JPN","1993","13.1899995803833","1.96000003814697","6.48000001907349","34.439998626709","26.6800003051758","39.6599998474121","59.5999984741211","66.5400009155273","54.9199981689453","49","76.13","62.2","63719.5264858504","46.69","46.7","47.73","47.6","47.22","47.1","50.42","50.3","58.24","78.32","78","84.57","64.04","63.8","71.5","40.2965315067571","66335548","64.3769152196118","64.4871794871795","","","","2.62","2.6","2.42","2.4","2.5","2.5","5.11","5.1","4.93","4.9","5.02","5","76.9599990844727","83.1399993896484","80.6500015258789"
"Japan","JPN","1962","","","","","","","","","","52.61","83.29","67.45","","","","","","","","","53.4","","","84.3","","","68.3","","","","","63.3451957295374","","","","","1.5","","1.2","","1.3","","","","","","","","",""
"Cambodia","KHM","2020","","","","","","","","","","","","","7671.02062370764","","","","","","","","","","","","","79.35","","","","9163843","","","","","","","","","","0.31","","","","","","","","","",""
"Kuwait","KWT","2017","0.0099999997764826","0.0199999995529652","0.0199999995529652","22.0400009155273","3.09999990463257","28.4200000762939","76.0299987792969","96.879997253418","69.0100021362305","","","","90290.4916477013","16.92","","33.78","","26.15","","50.19","","51.79","87.62","","88.57","73.32","","74.54","26.1503121303776","2336844","57.2814425930153","","","","","5.86","","0.97","","2.25","","30.53","","9.29","","15.51","","99.4700012207031","97.9100036621094","98.3099975585938"
"Lao PDR","LAO","2018","34.6599998474121","17.4899997711182","25.9200000762939","12.6499996185303","9.1899995803833","15.9799995422363","24.9799995422363","26.1800003051758","23.8199996948242","","","","14506.7985192154","62.05","","56.65","","59.32","","76.51","","80.46","79.81","","82.21","78.16","","81.34","49.077254776505","3719770","95.8651798020298","","","","","0.57","","0.7","","0.64","","1.57","","1.78","","1.68","","17.7199993133545","30.7900009155273","24.3799991607666"
"Latin America & Caribbean","LCN","1970","","","","","","","","","","","","","","","26.2910881304536","","69.5581811186884","","47.4347019468885","","21.4848978566889","","","81.5276020234708","","","51.0408810495182","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","MDG","2007","57.7599983215332","29.7399997711182","43.4199981689453","4.26000022888184","2.70000004768372","5.75","16.9899997711182","18.6399993896484","15.4099998474121","","","","3462.50231927124","75.97","","77.07","","76.52","","85.6","","87.38","90.01","","90.79","87.78","","89.07","49.227729062249","9494919","95.1005443839573","","","","","4.01","","2.15","","3.06","","4.4","","2.63","","3.5","","8.98999977111816","14.8900003433228","12.0100002288818"
"Middle income","MIC","2014","20.7666812371775","7.71790155784062","12.5712790805705","24.503954453977","19.1713077064288","27.6612697067268","42.6822624126762","49.3489558145131","38.7332786210094","","","","23054.365131218","31.1609440710257","","51.6021658050492","","41.724799623725","","45.7680193068101","","49.4023529194163","76.7517708254523","","80.719803937239","61.3107202867681","","65.2729142218659","37.2002206346639","2461082002","62.8523466339095","","","","","5.36022533769024","","5.263631076862","","5.29811710670347","5.03991255250991","16.6148658013924","","14.7109059157423","","15.1661570112106","","46.9176301797036","46.0359129875979","46.361606192537"
"Niger","NER","2003","38.75","38.1399993896484","38.4099998474121","7.96000003814697","11.210000038147","5.30999994277954","15.7200002670288","13.8299999237061","17.2700004577637","","","","2424.11616990066","57.82","","81.63","","69.17","","68.86","","70.43","90.67","","91.7","79.45","","80.78","44.6023358675998","5133767","75.9457372890703","","","","","1.75","","2.7","","2.28","","2.85","","5.58","","4.39","","9.13000011444092","9.65999984741211","9.42000007629395"
"Other small states","OSS","2007","10.5342627145667","6.78888772579449","8.22918339583293","22.8640928274749","11.5374670326499","29.9292129374378","52.075786242209","60.2002923674798","47.0128479473159","","","","51299.9762683335","35.8166600155044","","46.6057274268966","","41.4080250566465","","51.0272399486657","","54.6256911977499","72.3015596008878","","75.0937495530707","61.9628200264807","","65.3226763162883","40.0168352330841","9964815","71.7208898068625","","","","","14.2992009437246","","8.4010714442269","","10.75974064348","","27.8819355871112","","19.4290420240002","","23.0086016121109","","57.3272608717594","67.8340962873249","63.7918725786534"
"Peru","PER","2006","29.7399997711182","10.5100002288818","19.1399993896484","14.8500003814697","9.22999954223633","19.4300003051758","52.0699996948242","59.9500007629395","45.6699981689453","64.87","82.69","73.74","16198.3754675919","58.79","60.91","70.93","73.35","64.98","67.2","67.21","68.2","69.97","84.21","85.79","86.47","75.59","76.96","78.16","45.0783091466182","14527741","79.8123738273364","79.4964448070871","23.3799991607666","12.6199998855591","17.9500007629395","4.75","4.89","3.86","3.62","4.26","4.18","9.05","8.45","7.46","6.24","8.17","7.23","34.7000007629395","47.3699989318848","41.689998626709"
"Philippines","PHL","1991","17.9300003051758","10.6400003433228","13.4099998474121","14.3999996185303","13.2799997329712","15.0900001525879","40.689998626709","54.7000007629395","32.1300010681152","","","","11496.7299003228","36.76","38.31","55.66","61.12","46.4","49.94","47.54","47.05","48.77","77.37","82.47","78.25","62.48","64.55","63.66","37.9789206876705","23485491","61.4450045237172","57.0510488662544","","","","3.79","12.83","3.43","9.26","3.56","10.6","10.81","","7.54","","8.81","","48.3699989318848","49.9500007629395","49.3499984741211"
"Papua New Guinea","PNG","1994","27.2800006866455","37.4000015258789","32.4300003051758","3.26999998092651","1.10000002384186","5.36999988555908","23.5699996948242","20.5400009155273","26.4899997711182","","","","8598.82073712842","56.96","","55.03","","55.97","","69.26","","70.41","71.31","","71.89","70.29","","71.16","48.8696081476299","2102501","97.1252278782779","","","","","2.11","","3.69","","2.92","","4.51","","6.09","","5.31","","7.57999992370605","21.1000003814697","14.460000038147"
"Papua New Guinea","PNG","1997","28.3999996185303","36.3899993896484","32.4599990844727","3.48000001907349","1.16999995708466","5.71000003814697","23.8400001525879","21.4099998474121","26.2000007629395","","","","7844.50174656615","58.4","","56.23","","57.29","","69.75","","70.99","72.11","","72.71","70.94","","71.86","48.7827545296408","2306971","96.727222299265","","","","","1.97","","3.81","","2.91","","4.28","","6.16","","5.22","","7.57999992370605","20.8999996185303","14.3500003814697"
"Korea, Dem. People's Rep.","PRK","2002","41.0999984741211","49.6699981689453","45.5499992370605","18.2099990844727","13.5","22.5799999237061","32.3499984741211","32","32.6699981689453","","","","","76.38","","75.98","","76.18","","75.43","","81.39","89.17","","91.28","82.02","","86.29","47.8439120687479","14268829","84.5912302343838","","","","","2.53","","3.41","","2.99","","5.67","","7.42","","6.56","","12.4399995803833","13.6300001144409","13.0600004196167"
"Korea, Dem. People's Rep.","PRK","2019","38.3699989318848","38.3699989318848","38.3699989318848","12.7299995422363","8.32999992370605","16.7000007629395","43.4500007629395","44.5200004577637","42.4900016784668","","","","","76.88","","76.93","","76.9","","73.55","","81.05","88.3","","91.41","80.68","","86.24","47.0835056601669","16567356","83.2955832389581","","","","","2.23","","2.97","","2.62","","5.09","","6.64","","5.88","","12.8299999237061","12.8299999237061","12.8299999237061"
"Paraguay","PRY","2020","","","","","","","","","","51.57","78.54","64.82","26730.1771857284","","43.95","","68.29","","56.13","","57.26","","","83.43","","70.25","70.12","","","3562864","","68.6323864317392","","","","","9.93","","5.85","7.61","7.55","","23.34","","13.07","","17.09","","",""
"Post-demographic dividend","PST","2015","1.45662680192999","0.415759219258505","0.888536353162118","22.2482029247456","10.9577416078348","31.6540644346745","74.4219885379953","86.6353980373502","64.2527056555883","50.4618143005737","63.0733248316269","56.5546561224362","98375.1870926589","45.0216494513276","46.5230075879052","47.7037344822137","48.8911314365538","46.3984945575334","47.7481707554269","52.943918408487","54.1493534534218","66.4830352629811","67.2076601518111","67.7387525430745","78.9324293990113","59.8787659398734","60.7201759209659","72.7212989188342","45.4304422427112","549756988","79.0940413940966","80.1243882518274","13.0554414606599","11.8709927655876","12.4543726451684","6.83128293161558","6.79378008278686","6.89781302194452","6.84030982337119","6.86627412270846","6.82044283893829","14.9960497710399","15.1966081675153","16.332369397275","16.5502565118992","15.6852243003538","15.8825683512356","90.251555101351","85.0898931478018","87.436363874717"
"French Polynesia","PYF","2009","0.360000014305115","0.379999995231628","0.370000004768372","17.1100006103516","6.51000022888184","24.6100006103516","74.0100021362305","88.0999984741211","64.0500030517578","","","","","33.33","","45.18","","39.35","","48.29","","52.48","64.5","","69.28","56.58","","61.1","41.7238742183634","111145","74.8682170542636","","","","","12.2","","11.11","","11.57","","37.44","","32.19","","34.38","","88.5299987792969","82.4199981689453","84.9499969482422"
"Saudi Arabia","SAU","2003","0.109999999403954","0.119999997317791","0.119999997317791","20.9200000762939","1.14999997615814","23.8600006103516","74.5999984741211","98.3099975585938","71.0699996948242","","","","136203.73010466","7.66","","30.37","","19.48","","16.45","","17.32","74.15","","75.79","49.73","","51.25","14.0000538981863","7198758","22.1847606203641","","","","","12.65","12.52","4.41","4.36","5.56","5.56","42.18","","25.08","","28.3","","97.4800033569336","91.75","92.4899978637695"
"Suriname","SUR","2015","2.27999997138977","1.0900000333786","1.52999997138977","25.0799999237061","8.06999969482422","34.8300018310547","67.2300033569336","87.4300003051758","55.6500015258789","42.19","69.38","55.63","55612.3335693183","19.93","21.69","32.95","40.3","26.62","31.12","39.72","47.65","43.94","64.27","72.56","69.57","51.93","59.96","56.88","38.4506981699015","209333","61.8017737669208","65.6697905181918","","","","11.65","11.45","4.46","4.38","7.22","7.22","21.36","21.87","9.01","8.97","13.5","13.41","89.2600021362305","83.8600006103516","85.8300018310547"
"Sweden","SWE","1991","0.75","0.469999998807907","0.600000023841858","26.6100006103516","12.5200004577637","39.4799995422363","69.5500030517578","85.4700012207031","55","68.61","74.29","71.46","63194.1378020954","64.51","65.82","64.17","65.86","64.34","65.84","62.47","70.63","81.08","71.67","77","84.97","66.98","73.82","83.06","47.5831464851201","4726207","87.163387749407","91.7272727272727","","","","2.95","2.95","3.51","3.51","3.24","3.24","7.29","7.42","8.39","8.5","7.85","7.97","93.0800018310547","82.4800033569336","87.5400009155273"
"Tunisia","TUN","2017","3.38000011444092","1.87999999523163","2.24000000953674","33.2900009155273","32.810001373291","33.439998626709","51.9000015258789","57.2400016784668","50.2000007629395","20.49","59.81","39.77","35290.0479830965","17.99","19.26","39.24","41.32","28.95","30.32","25.34","26.49","28.36","69.23","68.27","75.34","46.8","46.98","51.56","27.6696498339068","4060673","36.6026289180991","38.8018163175626","","","","22.95","22.63","12.49","12.39","15.38","15.33","38.79","37.18","34.69","33.8","35.92","34.87","85.120002746582","70.9800033569336","74.3899993896484"
"Vanuatu","VUT","2016","4.26000022888184","2.0699999332428","3.02999997138977","11.8900003433228","10.0600004196167","13.3100004196167","28.7000007629395","29.8899993896484","27.7800006866455","","","","7080.22506112207","50.64","","60.85","","55.71","","60.96","","61.68","79","","79.66","69.98","","70.64","43.5671433612852","119014","77.1645569620253","","","","","1.51","","2","","1.79","","4.22","","4.34","","4.29","","27.1900005340576","33.4099998474121","30.7000007629395"
"Bhutan","BTN","1991","55.8300018310547","44.3899993896484","49.0499992370605","5.84999990463257","4.98000001907349","6.44999980926514","24.2999992370605","16.5699996948242","29.6100006103516","","","","7104.544482793","49.23","","61.25","","55.3","","61.1","","62.42","81.66","","82.76","71.79","","72.99","40.8570126540326","217243","74.8224344844477","","","","","1.26","","1.39","","1.34","","3.73","","4.85","","4.36","","21.3099994659424","24.0200004577637","22.9200000762939"
"Central African Republic","CAF","1997","53.310001373291","50","51.5299987792969","8.51000022888184","6.34999990463257","10.3699998855591","15.7399997711182","13.3800001144409","17.75","","","","2688.83861984848","51.88","","56.66","","54.26","","65.26","","66.83","80.58","","80.66","72.7","","73.6","46.1765505818831","1393493","80.987838173244","","","","","4.66","","4.29","","4.46","","7.59","","7.37","","7.48","","5.26000022888184","8.21000003814697","6.84999990463257"
"Germany","DEU","2008","1.50999999046326","0.409999996423721","0.910000026226044","29.3400001525879","15.0100002288818","41.1599998474121","68.870002746582","83.6699981689453","56.6699981689453","48.5","61.39","54.78","100848.123199873","49.95","49.47","55.45","54.71","52.75","52.16","52.11","52.52","69.67","66.71","66.31","82.08","59.21","59.24","75.94","45.2449454208148","41889046","78.1142257532604","79.2037400090484","9.46000003814697","7.44999980926514","8.43000030517578","7.65","7.65","7.42","7.42","7.53","7.52","9.99","9.99","11.05","11.05","10.56","10.56","91.1600036621094","86.0299987792969","88.3499984741211"
"Djibouti","DJI","2005","6.57000017166138","3.95000004768372","4.96000003814697","13.3400001525879","8.22999954223633","16.5699996948242","49.7200012207031","55.4500007629395","46.0900001525879","","","","","48.21","","53.35","","50.8","","47.1","","49.61","74.15","","76.86","60.63","","63.3","38.8270665478051","295021","63.5198921105867","","","","","11.73","","11.39","","11.52","","19.34","","20.38","","19.89","","51.0900001525879","62.2700004577637","57.939998626709"
"East Asia & Pacific (excluding high income)","EAP","2000","35.3775310550468","16.0924894730884","24.6688255094501","20.8896474197588","20.6231088442384","21.102976947185","29.1084934637639","32.4061109961463","26.4723239465942","","","73.2303660538635","7535.88687905239","61.9239697936131","60.9876470376095","67.1303136113642","65.2054874780358","64.5892095531919","63.1263720312573","67.3455779777095","66.9544236701069","72.3020615089166","83.0536174741386","82.5456659732603","86.9704139226026","75.2668693970802","74.7934961004192","79.7615036179783","44.3263922344645","999142950","81.6325519437945","81.7551479039845","","","","3.11779255915944","","3.68939965757774","","3.43295760957929","3.59381126164434","8.06247610741503","","8.80391277503627","","8.41331547576023","","37.5908252568647","35.6169385973894","36.494104220332"
"Estonia","EST","1993","1.92999994754791","1.25","1.57000005245209","33.25","27.2199993133545","38.7000007629395","50.75","61.2700004577637","41.2400016784668","55.83","71.44","63.1","","40.45","41.63","59.18","59.25","49.97","50.53","54.2","59.8","66.61","72.56","76.38","80.3","62.5","67.52","73.18","47.5147216948926","733781","74.696802646086","78.292746792354","","","","6.64","6.64","6.46","6.46","6.54","6.54","13.16","13.07","9.37","9.36","10.88","10.87","95.129997253418","89.7799987792969","92.3199996948242"
"Ethiopia","ETH","1993","60.3600006103516","28.8500003814697","42.3899993896484","6.69000005722046","8.92000007629395","5","16.5100002288818","24.0799999237061","10.8000001907349","","","","1638.57745402167","66.17","","80.59","","73.43","","66.39","","67.79","89.94","","90.57","78.02","","79.03","43.0837284537288","22192181","73.815877251501","","","","","3.33","","2.89","","3.08","","5.1","","3.99","","4.49","","8.52999973297119","9.9399995803833","9.32999992370605"
"Guatemala","GTM","2014","13.1300001144409","8.47999954223633","10.0699996948242","19.4599990844727","17.2600002288818","20.6000003814697","49.0099983215332","71.5800018310547","37.3300018310547","39.2","81.52","59.08","20924.8644313136","33.1","32.92","72.16","71.18","52.84","51.61","40.83","40.57","42.53","84.41","83.49","86.31","61.78","60.73","63.68","34.3157267027476","5969910","48.3710460845871","48.5926458258474","44.0299987792969","7.96999979019165","26.4099998474121","3.38","3.37","2.37","2.36","2.72","2.72","8.44","8.48","4.53","4.58","5.74","5.85","51.7400016784668","63.1699981689453","59.2700004577637"
"Guyana","GUY","2011","10.1800003051758","3.15000009536743","5.59999990463257","25.0200004577637","11.6199998855591","32.1699981689453","55.5800018310547","79.5699996948242","42.7599983215332","","","","30929.6935163686","34.59","","58.1","","46.24","","38.96","","41.49","72.25","","75.61","55.36","","58.4","35.7174928790919","285076","53.9238754325259","","","","","15.31","","10.7","","12.35","","32.1","","20","","24.57","","61.9900016784668","64.6900024414063","63.75"
"Hungary","HUN","1970","","","","","","","","","","","","","","","56.94","","66.68","","61.91","","48","","","75.43","","","61.08","","","","","63.6351584250298","","","","","","","","","","","","","","","","","",""
"IDA & IBRD total","IBT","2020","","","","","","","","","","","","","26775.9061224788","","","","","","","","","","","","","58.2453685657149","","","","2784201245","","","","","","","","","","6.41504866215236","","","","","","","","","",""
"IDA total","IDA","2007","40.8741589266951","16.4883533058112","26.052555899657","12.2981725818147","8.4863862040866","14.7510235428511","30.7181033693818","28.0802673935311","32.4187146128633","","","","7771.76281215256","40.4634063443252","","59.2574301853168","","49.9278428103774","","50.5079133749945","","51.8542286252344","78.5943906083015","","79.9299326569882","64.4712216043005","","65.8602230638877","39.3887094289593","480423872","68.5929062662037","","","","","4.3744998078319","","3.57775732081279","","3.8910047592827","","8.8781437728597","","7.32933222069496","","7.650438312844","","15.0334558369757","29.8530521621352","24.039851387972"
"Ireland","IRL","2008","0.850000023841858","0.709999978542328","0.769999980926514","23.2900009155273","9.77000045776367","33.939998626709","71.4300003051758","88.5599975585938","57.9099998474121","53.59","69.51","61.48","115809.721326211","61.12","61.85","69.38","70.05","65.3","65.96","56.73","56.83","65.74","75.13","75.22","83.42","65.82","65.94","74.6","43.5976099163011","2348537","75.5091175296153","75.551714969423","11.4200000762939","13.6099996566772","12.5200004577637","5.7","5.7","7.6","7.6","6.77","6.77","10.16","10.05","16.6","16.46","13.62","13.47","92.2699966430664","76.0999984741211","83.2300033569336"
"Iceland","ISL","2016","0.550000011920929","0.280000001192093","0.400000005960464","17.4599990844727","6.94000005722046","26.8099994659424","78.6500015258789","90.879997253418","67.7699966430664","77.32","85.19","81.31","90754.0097705375","83.41","83.47","82.25","82.61","82.82","83.02","73.18","79.75","86.17","82.33","87.75","91.94","77.75","83.81","89.09","47.1010769829114","208267","88.8861897242803","90.8831908831909","3.65000009536743","4.55000019073486","4.11999988555908","3.05","3.05","2.92","2.92","2.98","2.98","6.16","6.35","6.49","6.66","6.33","6.51","92.0299987792969","83.8499984741211","87.6999969482422"
"Kyrgyz Republic","KGZ","2014","21.2700004577637","6.51999998092651","12.5299997329712","20.4300003051758","11.6400003433228","26.4799995422363","47.9799995422363","53.8899993896484","43.9199981689453","45.59","69.7","57.34","11949.4355083051","34.21","34.06","54.04","53.85","44.29","44.12","50.39","50.36","53.89","75.03","74.97","78.28","62.4","62.35","65.93","41.3987299498559","2507775","67.1598027455684","67.1735360810991","29.1800003051758","12.5299997329712","20.7199993133545","9.49","9.49","7.03","7.03","8.05","8.05","17.14","17.16","12.02","12.02","13.96","13.97","60.9199981689453","54.5900001525879","57.1699981689453"
"Korea, Rep.","KOR","1983","","","","","","","","","","41.87","69.8","55.33","","","41.26","","38.31","","39.84","","42.82","","","73.64","","","57.68","","","","","58.1477457903313","","","","","2.24","","5.21","","4.07","","6.54","","12.24","","9.17","","",""
"Kuwait","KWT","1983","","","","","","","","","","23.73","77.73","54.42","","","15.6","","40.58","","28.12","","23.98","","","78.64","","","55.05","","","","","30.4933875890132","","","","","1.03","","1.16","","1.02","","3.36","","5.27","","4.74","","",""
"Latin America & Caribbean (excluding high income)","LAC","2008","9.26236670718606","4.11708598668551","6.16295228702491","22.2693190853642","13.9887516650117","27.7415942222057","61.2268223423745","76.6581727697881","51.0330515885481","47.4638372239517","75.1563982989928","60.7017163171364","32865.4545971087","43.023597282143","44.4309214103207","64.2349564960659","64.9291377533886","53.7074386115494","54.6908867042076","50.9034303573515","51.5429094746507","54.9236918093808","78.753591894259","79.0796930416819","82.5595541581877","64.4408923409817","64.7072945914873","68.4827967604734","40.5976666086351","239852350","65.2150591990317","65.5991056826535","27.9529642440763","11.4526933262712","19.7066459610063","8.257762477895","8.01563778522253","5.09614031331454","4.96556452595918","6.37762387717954","6.23261109878435","16.715963040323","16.745470435258","10.8492162115614","10.6851143361944","13.2344057022321","13.1571585861451","62.2153139057512","62.0741807036594","62.1313742485623"
"Low income","LIC","1992","49.1496977983313","28.193182457518","37.4463816043624","10.0269509654934","7.39406005832506","12.1090873920863","19.4267056328752","16.9928387715991","21.356333831948","","","","","53.1274970890754","","63.1296568300894","","58.1357905136627","","60.6909964658589","","62.0942486194157","81.3840205307801","","82.1941075542897","70.8001526755979","","71.9649370256781","43.8488814466391","119846672","78.0476874209214","","","","","3.80030367663096","","4.92153454498031","","4.43143025195676","","8.20015829844793","","8.86645454101455","","8.44679971577376","","9.69404006395778","18.0668252162959","14.3669417516609"
"Liechtenstein","LIE","2014","","","","","","","","","","51.78","67.25","59.38","","","47.11","","56.88","","51.95","","53.59","","","70.19","","","61.75","","","","","76.3499073942157","","","","","","","","","","","","","","","","","",""
